,Population 2019,,,,
,,,,,
,,,,,
,Ranking,,Economy,(thousands),
,,,,,
CHN,1,,China,"1,397,715",
IND,2,,India,"1,366,418",
USA,3,,United States,"328,240",
IDN,4,,Indonesia,"270,626",
PAK,5,,Pakistan,"216,565",
BRA,6,,Brazil,"211,050",
NGA,7,,Nigeria,"200,964",
BGD,8,,Bangladesh,"163,046",
RUS,9,,Russia,"144,374",
MEX,10,,Mexico,"127,576",
JPN,11,,Japan,"126,265",
ETH,12,,Ethiopia,"112,079",
PHL,13,,Philippines,"108,117",
EGY,14,,Egypt,"100,388",
VNM,15,,Vietnam,"96,462",
COD,16,,"Congo, Dem. Rep.","86,791",
TUR,17,,Turkey,"83,430",
DEU,18,,Germany,"83,133",
IRN,19,,"Iran, Islamic Rep.","82,914",
THA,20,,Thailand,"69,626",
FRA,21,,France,"67,060",
GBR,22,,United Kingdom,"66,834",
ITA,23,,Italy,"60,297",
ZAF,24,,South Africa,"58,558",
TZA,25,,Tanzania,"58,005",
MMR,26,,Myanmar,"54,045",
KEN,27,,Kenya,"52,574",
KOR,28,,"Korea, Rep.","51,709",
COL,29,,Colombia,"50,339",
ESP,30,,Spain,"47,077",
ARG,31,,Argentina,"44,939",
UKR,32,,Ukraine,"44,385",
UGA,33,,Uganda,"44,270",
DZA,34,,Algeria,"43,053",
SDN,35,,Sudan,"42,813",
IRQ,36,,Iraq,"39,310",
AFG,37,,Afghanistan,"38,042",
POL,38,,Poland,"37,971",
CAN,39,,Canada,"37,589",
MAR,40,,Morocco,"36,472",
SAU,41,,Saudi Arabia,"34,269",
UZB,42,,Uzbekistan,"33,581",
PER,43,,Peru,"32,510",
MYS,44,,Malaysia,"31,950",
AGO,45,,Angola,"31,825",
GHA,46,,Ghana,"30,418",
MOZ,47,,Mozambique,"30,366",
YEM,48,,"Yemen, Rep.","29,162",
NPL,49,,Nepal,"28,609",
VEN,50,,"Venezuela, RB","28,516",
MDG,51,,Madagascar,"26,969",
CMR,52,,Cameroon,"25,876",
CIV,53,,Côte d'Ivoire,"25,717",
PRK,54,,"Korea, Dem. People's Rep.","25,666",
AUS,55,,Australia,"25,364",
NER,56,,Niger,"23,311",
LKA,57,,Sri Lanka,"21,803",
BFA,58,,Burkina Faso,"20,321",
MLI,59,,Mali,"19,658",
ROU,60,,Romania,"19,357",
CHL,61,,Chile,"18,952",
MWI,62,,Malawi,"18,629",
KAZ,63,,Kazakhstan,"18,514",
ZMB,64,,Zambia,"17,861",
ECU,65,,Ecuador,"17,374",
NLD,66,,Netherlands,"17,333",
SYR,67,,Syrian Arab Republic,"17,070",
GTM,68,,Guatemala,"16,604",
KHM,69,,Cambodia,"16,487",
SEN,70,,Senegal,"16,296",
TCD,71,,Chad,"15,947",
SOM,72,,Somalia,"15,443",
ZWE,73,,Zimbabwe,"14,645",
GIN,74,,Guinea,"12,771",
RWA,75,,Rwanda,"12,627",
BEN,76,,Benin,"11,801",
TUN,77,,Tunisia,"11,695",
BDI,78,,Burundi,"11,531",
BOL,79,,Bolivia,"11,513",
BEL,80,,Belgium,"11,484",
CUB,81,,Cuba,"11,333",
HTI,82,,Haiti,"11,263",
